Pedigree-Information,The in-depth pedigree with funnelcode 1-2...5
Generation,MemberID,Female=1/Male=2/Hermaphrodite=0,MotherID,FatherID
0,1,0,0,0
0,2,0,0,0
0,3,0,0,0
0,4,0,0,0
0,5,0,0,0
1,6,0,1,2
1,7,0,1,3
1,8,0,1,4
1,9,0,1,5
2,10,0,1,6
2,11,0,1,7
2,12,0,1,8
2,13,0,1,9
4,14,0,10,11
4,15,0,10,12
4,16,0,10,13
4,17,0,11,12
4,18,0,11,13
4,19,0,12,13
5,20,0,14,14
5,21,0,15,15
5,22,0,16,16
5,23,0,17,17
5,24,0,18,18
5,25,0,19,19
6,26,0,20,20
6,27,0,21,21
6,28,0,22,22
6,29,0,23,23
6,30,0,24,24
6,31,0,25,25
7,32,0,26,26
7,33,0,27,27
7,34,0,28,28
7,35,0,29,29
7,36,0,30,30
7,37,0,31,31
8,38,0,32,32
8,39,0,33,33
8,40,0,34,34
8,41,0,35,35
8,42,0,36,36
8,43,0,37,37
9,44,0,38,38
9,45,0,39,39
9,46,0,40,40
9,47,0,41,41
9,48,0,42,42
9,49,0,43,43
10,50,0,44,44
10,51,0,45,45
10,52,0,46,46
10,53,0,47,47
10,54,0,48,48
10,55,0,49,49
Pedigree-Information,The memberID and funnelcode for each sampled individual
SampledProgeny,MemberID,Funnelcode
AB-1-1-1-1,50,1-2-3-4-5
AB-1-1-1-2,50,1-2-3-4-5
AB-1-1-1-3,50,1-2-3-4-5
AB-1-1-1-4,50,1-2-3-4-5
AB-1-2-1-1,50,1-2-3-4-5
AB-1-2-1-2,50,1-2-3-4-5
AB-1-2-1-3,50,1-2-3-4-5
AB-1-2-1-4,50,1-2-3-4-5
AB-13-1-1-1,50,1-2-3-4-5
AB-13-1-1-2,50,1-2-3-4-5
AB-13-1-1-3,50,1-2-3-4-5
AB-13-2-1-1,50,1-2-3-4-5
AB-13-2-1-2,50,1-2-3-4-5
AB-13-2-1-3,50,1-2-3-4-5
AB-13-2-1-4,50,1-2-3-4-5
AB-13-3-1-1,50,1-2-3-4-5
AB-13-3-1-2,50,1-2-3-4-5
AB-13-3-1-3,50,1-2-3-4-5
AB-16-1-1-1,50,1-2-3-4-5
AB-16-1-1-2,50,1-2-3-4-5
AB-16-1-1-3,50,1-2-3-4-5
AB-16-1-1-4,50,1-2-3-4-5
AB-16-2-1-1,50,1-2-3-4-5
AB-16-2-1-2,50,1-2-3-4-5
AB-16-2-1-4,50,1-2-3-4-5
AB-16-3-1-1,50,1-2-3-4-5
AB-16-3-1-2,50,1-2-3-4-5
AB-16-3-1-3,50,1-2-3-4-5
AB-18-1-1-1,50,1-2-3-4-5
AB-18-2-1-2,50,1-2-3-4-5
AB-18-3-1-2,50,1-2-3-4-5
AB-18-3-1-3,50,1-2-3-4-5
AB-4-1-1-3,50,1-2-3-4-5
AB-4-2-1-1,50,1-2-3-4-5
AB-4-2-1-2,50,1-2-3-4-5
AB-4-2-1-3,50,1-2-3-4-5
AB-4-2-1-4,50,1-2-3-4-5
AB-4-3-1-1,50,1-2-3-4-5
AB-4-3-1-2,50,1-2-3-4-5
AB-4-3-1-3,50,1-2-3-4-5
AB-4-3-1-4,50,1-2-3-4-5
AB-7-1-1-2,50,1-2-3-4-5
AB-7-2-1-1,50,1-2-3-4-5
AB-7-2-1-2,50,1-2-3-4-5
AB-7-2-1-3,50,1-2-3-4-5
AB-7-2-1-4,50,1-2-3-4-5
AB-77-1-1-1,50,1-2-3-4-5
AB-77-1-1-2,50,1-2-3-4-5
AB-77-1-1-3,50,1-2-3-4-5
AB-77-1-1-4,50,1-2-3-4-5
AB-9-1-1-1,50,1-2-3-4-5
AB-9-1-1-2,50,1-2-3-4-5
AB-9-1-1-3,50,1-2-3-4-5
AB-9-1-1-4,50,1-2-3-4-5
AB-9-2-1-1,50,1-2-3-4-5
AB-9-2-1-2,50,1-2-3-4-5
AB-9-2-1-3,50,1-2-3-4-5
AB-9-2-1-4,50,1-2-3-4-5
AB-9-3-1-1,50,1-2-3-4-5
AB-9-3-1-2,50,1-2-3-4-5
AB-9-3-1-3,50,1-2-3-4-5
AB-9-3-1-4,50,1-2-3-4-5
BA-21-1-1-1,50,1-2-3-4-5
BA-21-1-1-2,50,1-2-3-4-5
BA-21-1-1-3,50,1-2-3-4-5
BA-21-1-1-4,50,1-2-3-4-5
BA-21-2-1-1,50,1-2-3-4-5
BA-21-2-1-2,50,1-2-3-4-5
BA-21-2-1-3,50,1-2-3-4-5
BA-21-2-1-4,50,1-2-3-4-5
BA-21-3-1-1,50,1-2-3-4-5
BA-21-3-1-2,50,1-2-3-4-5
BA-21-3-1-3,50,1-2-3-4-5
BA-21-3-1-4,50,1-2-3-4-5
BA-21-4-1-1,50,1-2-3-4-5
BA-21-4-1-2,50,1-2-3-4-5
BA-21-4-1-3,50,1-2-3-4-5
BA-21-4-1-4,50,1-2-3-4-5
BA-24-1-1-1,50,1-2-3-4-5
BA-24-1-1-2,50,1-2-3-4-5
BA-24-1-1-3,50,1-2-3-4-5
BA-24-1-1-4,50,1-2-3-4-5
BA-27-1-1-1,50,1-2-3-4-5
BA-27-1-1-2,50,1-2-3-4-5
BA-27-1-1-3,50,1-2-3-4-5
BA-27-1-1-4,50,1-2-3-4-5
BA-27-2-1-1,50,1-2-3-4-5
BA-27-2-1-2,50,1-2-3-4-5
BA-27-2-1-3,50,1-2-3-4-5
BA-27-3-1-1,50,1-2-3-4-5
BA-27-3-1-2,50,1-2-3-4-5
BA-27-3-1-3,50,1-2-3-4-5
BA-27-3-1-4,50,1-2-3-4-5
BA-27-4-1-1,50,1-2-3-4-5
BA-27-4-1-2,50,1-2-3-4-5
BA-27-4-1-3,50,1-2-3-4-5
BA-27-5-1-1,50,1-2-3-4-5
BA-27-5-1-2,50,1-2-3-4-5
BA-27-5-1-3,50,1-2-3-4-5
BA-30-1-1-1,50,1-2-3-4-5
BA-30-1-1-2,50,1-2-3-4-5
BA-30-1-1-3,50,1-2-3-4-5
BA-30-1-1-4,50,1-2-3-4-5
BA-30-2-1-2,50,1-2-3-4-5
BA-30-2-1-3,50,1-2-3-4-5
BA-30-2-1-4,50,1-2-3-4-5
BA-30-3-1-1,50,1-2-3-4-5
BA-30-3-1-2,50,1-2-3-4-5
BA-30-3-1-3,50,1-2-3-4-5
BA-30-3-1-4,50,1-2-3-4-5
BA-33-1-1-1,50,1-2-3-4-5
BA-33-1-1-2,50,1-2-3-4-5
BA-33-1-1-3,50,1-2-3-4-5
BA-33-1-1-4,50,1-2-3-4-5
BA-33-2-1-1,50,1-2-3-4-5
BA-33-2-1-2,50,1-2-3-4-5
BA-33-2-1-3,50,1-2-3-4-5
BA-33-2-1-4,50,1-2-3-4-5
BA-33-3-1-1,50,1-2-3-4-5
BA-33-3-1-2,50,1-2-3-4-5
BA-33-3-1-3,50,1-2-3-4-5
BA-33-4-1-1,50,1-2-3-4-5
BA-33-4-1-2,50,1-2-3-4-5
BA-33-4-1-3,50,1-2-3-4-5
BA-33-4-1-4,50,1-2-3-4-5
BA-34-1-1-1,50,1-2-3-4-5
BA-34-1-1-2,50,1-2-3-4-5
BA-34-1-1-3,50,1-2-3-4-5
BA-34-1-1-4,50,1-2-3-4-5
BA-34-2-1-1,50,1-2-3-4-5
BA-34-2-1-2,50,1-2-3-4-5
BA-34-2-1-3,50,1-2-3-4-5
BA-34-2-1-4,50,1-2-3-4-5
BA-34-3-1-1,50,1-2-3-4-5
BA-34-3-1-2,50,1-2-3-4-5
BA-34-3-1-3,50,1-2-3-4-5
BA-34-3-1-4,50,1-2-3-4-5
BA-34-4-1-1,50,1-2-3-4-5
BA-34-4-1-2,50,1-2-3-4-5
BA-34-4-1-3,50,1-2-3-4-5
BA-34-4-1-4,50,1-2-3-4-5
BA-34-5-1-1,50,1-2-3-4-5
BA-34-5-1-2,50,1-2-3-4-5
BA-34-5-1-3,50,1-2-3-4-5
BA-34-5-1-4,50,1-2-3-4-5
BA-34-6-1-1,50,1-2-3-4-5
BA-34-6-1-2,50,1-2-3-4-5
BA-34-6-1-3,50,1-2-3-4-5
BA-34-6-1-4,50,1-2-3-4-5
AC-10-1-1-1,51,1-2-3-4-5
AC-10-1-1-2,51,1-2-3-4-5
AC-10-1-1-3,51,1-2-3-4-5
AC-10-1-1-4,51,1-2-3-4-5
AC-10-2-1-1,51,1-2-3-4-5
AC-10-2-1-2,51,1-2-3-4-5
AC-10-2-1-3,51,1-2-3-4-5
AC-10-3-1-1,51,1-2-3-4-5
AC-10-3-1-2,51,1-2-3-4-5
AC-10-3-1-3,51,1-2-3-4-5
AC-10-4-1-1,51,1-2-3-4-5
AC-10-4-1-2,51,1-2-3-4-5
AC-10-4-1-3,51,1-2-3-4-5
